booking_id,guest_id,brand,ship_name,itinerary_name,region,nights,cabin_category,num_guests,booking_date,sail_date,booking_window_days,cabin_price_usd,total_revenue_usd,booking_channel,is_cancelled,cancellation_date,cancellation_reason,loyalty_tier,_fivetran_synced
BK0000001,G0000977,Oceania,Marina,Panama Canal,Americas,14,Oceanview,2,2022-12-23,2023-04-03,101,9027.98,17406.93,Travel Agent,True,2023-02-07,Personal,Latitudes,2026-04-05T21:18:37.475233
BK0000002,G0011150,Norwegian,Norwegian Bliss,Hawaii Aloha,Hawaii,12,Oceanview,3,2024-02-10,2024-07-08,149,595.04,1770.27,Travel Agent,False,,,Ambassador,2026-04-05T21:18:37.475250
BK0000003,G0012404,Norwegian,Norwegian Encore,Hawaii Aloha,Hawaii,12,Inside,2,2023-07-07,2024-01-06,183,3608.85,6942.13,OTA,False,,,Gold,2026-04-05T21:18:37.475258
BK0000004,G0012456,Oceania,Vista,Norwegian Fjords,Europe,9,Inside,3,2021-11-09,2022-04-04,146,12229.14,36382.77,OTA,False,,,None,2026-04-05T21:18:37.475266
BK0000005,G0018251,Norwegian,Norwegian Joy,Alaska Explorer,Alaska,7,Haven Suite,2,2025-04-21,2025-07-24,94,1997.13,3926.13,OTA,False,,,Platinum,2026-04-05T21:18:37.475273
BK0000006,G0006968,Oceania,Riviera,Caribbean Classic,Caribbean,7,Veranda,1,2023-10-17,2024-04-01,167,11154.45,11693.39,Group,False,,,Platinum,2026-04-05T21:18:37.475279
BK0000007,G0011862,Oceania,Riviera,Panama Canal,Americas,14,Oceanview,2,2022-07-08,2023-05-21,317,8621.58,16948.27,Travel Agent,False,,,Latitudes,2026-04-05T21:18:37.475285
BK0000008,G0015338,Norwegian,Norwegian Encore,Alaska Explorer,Alaska,7,Oceanview,3,2025-04-12,2025-07-09,88,3054.07,9431.28,Loyalty,False,,,Platinum,2026-04-05T21:18:37.475291
BK0000009,G0008631,Norwegian,Norwegian Encore,Panama Canal,Americas,14,Balcony,2,2022-03-13,2022-08-17,157,2496.11,5470.39,Travel Agent,False,,,Latitudes,2026-04-05T21:18:37.475297
BK0000010,G0000639,Norwegian,Norwegian Joy,Norwegian Fjords,Europe,9,Oceanview,2,2023-11-08,2024-02-05,89,4037.17,7806.11,OTA,True,2023-12-25,Weather,Platinum,2026-04-05T21:18:37.475304
BK0000011,G0004208,Oceania,Vista,Norwegian Fjords,Europe,9,Inside,4,2022-06-23,2023-05-09,320,2496.51,10474.98,Loyalty,True,2022-08-09,Medical,None,2026-04-05T21:18:37.475313
BK0000012,G0016960,Norwegian,Norwegian Getaway,Hawaii Aloha,Hawaii,12,Oceanview,2,2024-09-22,2025-01-09,109,2203.39,4484.88,Travel Agent,False,,,None,2026-04-05T21:18:37.475320
BK0000013,G0010828,Norwegian,Norwegian Getaway,Norwegian Fjords,Europe,9,Haven Suite,1,2023-03-18,2023-03-28,10,3284.35,3155.04,Travel Agent,False,,,None,2026-04-05T21:18:37.475326
BK0000014,G0011610,Norwegian,Norwegian Getaway,Mediterranean Dreams,Mediterranean,10,Haven Suite,2,2024-07-20,2025-03-26,249,2256.9,4574.9,Group,True,2024-10-08,Weather,Platinum,2026-04-05T21:18:37.475332
BK0000015,G0009128,Norwegian,Norwegian Encore,Caribbean Classic,Caribbean,7,Mini-Suite,2,2023-09-25,2023-11-26,62,1428.54,2912.49,Direct Web,False,,,Latitudes,2026-04-05T21:18:37.475340
BK0000016,G0007005,Regent,Seven Seas Explorer,Caribbean Classic,Caribbean,7,Master Suite,4,2021-10-16,2022-01-31,107,29142.82,125861.73,Direct Web,False,,,None,2026-04-05T21:18:37.475346
BK0000017,G0015948,Norwegian,Norwegian Escape,Panama Canal,Americas,14,Mini-Suite,2,2022-12-28,2023-08-08,223,3333.08,6487.64,OTA,False,,,None,2026-04-05T21:18:37.475352
BK0000018,G0016641,Norwegian,Norwegian Getaway,Caribbean Classic,Caribbean,7,Balcony,2,2022-03-27,2022-04-28,32,2910.71,5600.3,Travel Agent,False,,,None,2026-04-05T21:18:37.475358
BK0000019,G0018522,Norwegian,Norwegian Bliss,Hawaii Aloha,Hawaii,12,Inside,2,2024-10-30,2025-03-12,133,682.19,1403.15,OTA,False,,,None,2026-04-05T21:18:37.475364
