dining,spa,excursions,beverage,casino,retail,booking_id,guest_id,brand,sail_date,total_onboard_spend_usd,_fivetran_synced
447.05,630.24,2023.25,135.67,876.61,302.44,BK0000002,G0011150,Norwegian,2024-07-08,4415.26,2026-04-05T21:18:59.349265
521.24,429.56,1043.89,601.26,424.78,394.69,BK0000003,G0012404,Norwegian,2024-01-06,3415.42,2026-04-05T21:18:59.349296
130.02,582.96,2135.26,304.26,167.28,600.78,BK0000004,G0012456,Oceania,2022-04-04,3920.56,2026-04-05T21:18:59.349317
90.99,327.18,949.79,218.81,53.7,244.93,BK0000005,G0018251,Norwegian,2025-07-24,1885.4,2026-04-05T21:18:59.349337
14.33,150.09,130.46,154.71,50.47,238.22,BK0000006,G0006968,Oceania,2024-04-01,738.28,2026-04-05T21:18:59.349355
208.18,447.66,770.54,333.86,23.2,60.93,BK0000007,G0011862,Oceania,2023-05-21,1844.37,2026-04-05T21:18:59.349373
625.24,697.96,1109.11,1187.67,499.16,418.91,BK0000008,G0015338,Norwegian,2025-07-09,4538.05,2026-04-05T21:18:59.349391
88.31,187.47,989.81,505.15,484.48,212.09,BK0000009,G0008631,Norwegian,2022-08-17,2467.31,2026-04-05T21:18:59.349409
0.86,171.96,1091.8,325.55,280.68,121.79,BK0000012,G0016960,Norwegian,2025-01-09,1992.64,2026-04-05T21:18:59.349426
229.01,179.28,45.27,199.24,102.88,159.86,BK0000013,G0010828,Norwegian,2023-03-28,915.54,2026-04-05T21:18:59.349444
152.86,473.36,746.61,163.32,114.37,356.24,BK0000015,G0009128,Norwegian,2023-11-26,2006.76,2026-04-05T21:18:59.349461
0.0,635.71,5261.66,0.0,1.31,1808.83,BK0000016,G0007005,Regent,2022-01-31,7707.51,2026-04-05T21:18:59.349479
21.91,206.97,39.59,187.84,748.67,135.03,BK0000017,G0015948,Norwegian,2023-08-08,1340.01,2026-04-05T21:18:59.349496
150.08,233.85,382.32,394.38,14.27,132.76,BK0000018,G0016641,Norwegian,2022-04-28,1307.66,2026-04-05T21:18:59.349513
9.71,119.98,203.98,33.41,938.91,392.85,BK0000019,G0018522,Norwegian,2025-03-12,1698.84,2026-04-05T21:18:59.349530
185.08,235.58,1511.1,140.2,487.71,91.26,BK0000021,G0017333,Norwegian,2023-05-16,2650.93,2026-04-05T21:18:59.349547
83.34,268.54,1759.32,56.72,121.83,153.88,BK0000022,G0008651,Oceania,2022-08-08,2443.63,2026-04-05T21:18:59.349564
143.37,568.94,1936.2,316.25,178.28,524.32,BK0000023,G0014479,Oceania,2022-04-01,3667.36,2026-04-05T21:18:59.349582
266.63,53.07,1137.35,399.44,814.72,319.66,BK0000024,G0001308,Norwegian,2025-04-07,2990.87,2026-04-05T21:18:59.349601
176.76,1016.02,494.99,334.62,77.58,279.12,BK0000025,G0000813,Oceania,2022-11-13,2379.09,2026-04-05T21:18:59.349619
410.45,473.96,594.92,61.31,269.87,183.13,BK0000026,G0015084,Norwegian,2025-12-07,1993.64,2026-04-05T21:18:59.349638
22.42,781.9,762.82,367.84,180.37,184.17,BK0000027,G0010852,Oceania,2022-05-23,2299.52,2026-04-05T21:18:59.349656
35.52,340.91,146.58,684.37,280.25,344.75,BK0000028,G0003790,Norwegian,2022-08-11,1832.38,2026-04-05T21:18:59.349675
4.07,281.22,1144.23,0.37,983.67,281.65,BK0000029,G0010287,Norwegian,2025-01-07,2695.21,2026-04-05T21:18:59.349693
440.65,479.56,1390.28,447.05,561.15,166.05,BK0000030,G0005703,Norwegian,2024-04-04,3484.74,2026-04-05T21:18:59.349710
174.97,60.19,2181.08,324.78,163.15,183.03,BK0000031,G0016751,Oceania,2024-05-30,3087.2,2026-04-05T21:18:59.349727
48.35,310.1,318.92,761.99,273.04,34.26,BK0000032,G0015570,Norwegian,2023-04-27,1746.66,2026-04-05T21:18:59.349743
0.0,434.56,246.55,0.0,142.55,344.49,BK0000033,G0003493,Regent,2024-03-29,1168.15,2026-04-05T21:18:59.349760
0.0,1222.32,399.8,0.0,430.54,1355.05,BK0000034,G0018315,Regent,2023-05-26,3407.71,2026-04-05T21:18:59.349777
77.13,287.4,1604.7,37.57,127.9,622.84,BK0000035,G0017082,Oceania,2024-08-30,2757.54,2026-04-05T21:18:59.349794
205.42,210.44,1708.41,600.18,1085.14,256.73,BK0000036,G0005008,Norwegian,2023-11-19,4066.32,2026-04-05T21:18:59.349811
393.14,337.86,121.78,274.24,484.8,118.33,BK0000038,G0013249,Norwegian,2023-03-26,1730.15,2026-04-05T21:18:59.349828
0.0,204.26,186.4,0.0,143.37,102.3,BK0000039,G0001648,Regent,2025-03-01,636.33,2026-04-05T21:18:59.349844
172.86,347.5,546.17,440.87,424.78,273.88,BK0000040,G0007348,Norwegian,2023-06-01,2206.06,2026-04-05T21:18:59.349861
0.0,174.75,972.88,0.0,154.32,464.5,BK0000041,G0008397,Regent,2022-11-09,1766.45,2026-04-05T21:18:59.349878
0.0,19.27,1504.26,0.0,15.09,245.55,BK0000042,G0012998,Regent,2022-08-10,1784.17,2026-04-05T21:18:59.349895
232.03,340.92,1003.64,475.08,749.37,375.97,BK0000044,G0008851,Norwegian,2024-01-12,3177.01,2026-04-05T21:18:59.349913
254.89,96.52,1294.52,496.71,978.13,21.94,BK0000045,G0012419,Norwegian,2023-05-18,3142.71,2026-04-05T21:18:59.349931
315.64,354.15,198.94,159.05,527.69,366.91,BK0000047,G0012093,Norwegian,2022-02-05,1922.38,2026-04-05T21:18:59.349950
23.31,364.98,284.95,474.74,934.6,319.2,BK0000049,G0008989,Norwegian,2023-02-02,2401.78,2026-04-05T21:18:59.349968
46.47,331.43,930.9,185.08,39.66,593.49,BK0000050,G0008274,Oceania,2022-01-26,2127.03,2026-04-05T21:18:59.349987
255.49,1048.45,2666.05,660.2,275.82,1233.71,BK0000052,G0003252,Oceania,2023-09-01,6139.72,2026-04-05T21:18:59.350005
214.42,245.12,1500.57,629.14,100.48,139.9,BK0000053,G0001070,Norwegian,2022-12-22,2829.63,2026-04-05T21:18:59.350024
70.59,285.62,65.43,55.89,549.11,293.56,BK0000054,G0004661,Norwegian,2025-09-16,1320.2,2026-04-05T21:18:59.350042
184.34,130.96,506.03,394.69,364.18,163.75,BK0000055,G0016181,Norwegian,2022-09-12,1743.95,2026-04-05T21:18:59.350060
886.4,490.5,2843.35,772.15,925.08,628.14,BK0000056,G0008832,Norwegian,2022-07-07,6545.62,2026-04-05T21:18:59.350079
7.29,1181.74,1880.59,223.77,79.37,138.01,BK0000057,G0010521,Oceania,2024-06-11,3510.77,2026-04-05T21:18:59.350097
39.21,12.22,1052.34,71.14,95.93,133.14,BK0000058,G0016863,Oceania,2022-03-17,1403.98,2026-04-05T21:18:59.350115
537.28,242.43,1550.3,21.51,805.05,335.09,BK0000060,G0015121,Norwegian,2023-09-29,3491.66,2026-04-05T21:18:59.350134
153.13,70.82,1169.69,70.69,161.16,35.16,BK0000061,G0004474,Oceania,2024-08-25,1660.65,2026-04-05T21:18:59.350152
0.0,928.44,1244.67,0.0,88.32,194.7,BK0000062,G0004870,Regent,2023-08-03,2456.13,2026-04-05T21:18:59.350171
1078.68,433.26,225.61,137.15,1385.45,186.37,BK0000063,G0013461,Norwegian,2023-10-22,3446.52,2026-04-05T21:18:59.350189
282.68,760.03,919.83,149.4,7.91,201.54,BK0000064,G0014428,Oceania,2022-03-17,2321.39,2026-04-05T21:18:59.350206
6.03,311.5,1573.48,409.82,917.74,289.9,BK0000065,G0017486,Norwegian,2023-06-27,3508.47,2026-04-05T21:18:59.350223
0.0,590.34,2201.59,0.0,249.6,432.32,BK0000066,G0014221,Regent,2022-05-21,3473.85,2026-04-05T21:18:59.350239
3.72,143.18,608.68,343.22,109.97,39.56,BK0000067,G0005901,Oceania,2022-04-25,1248.33,2026-04-05T21:18:59.350256
540.2,1332.02,4515.25,223.14,186.66,211.32,BK0000070,G0007541,Oceania,2025-03-05,7008.59,2026-04-05T21:18:59.350273
299.11,259.79,1319.57,453.77,434.54,331.64,BK0000071,G0002954,Norwegian,2025-07-09,3098.42,2026-04-05T21:18:59.350289
55.45,75.91,892.56,928.25,385.98,286.12,BK0000072,G0009672,Norwegian,2024-10-24,2624.27,2026-04-05T21:18:59.350306
918.22,531.89,1596.35,1439.92,255.82,778.73,BK0000073,G0000457,Norwegian,2025-10-17,5520.93,2026-04-05T21:18:59.350323
113.74,777.13,1323.15,71.85,2.69,481.37,BK0000074,G0019992,Oceania,2022-08-10,2769.93,2026-04-05T21:18:59.350340
387.68,718.4,3349.57,275.17,31.82,237.1,BK0000076,G0012142,Oceania,2025-09-03,4999.74,2026-04-05T21:18:59.350356
0.0,220.14,162.66,0.0,83.31,308.67,BK0000077,G0014901,Regent,2025-08-13,774.78,2026-04-05T21:18:59.350373
671.36,705.8,319.47,716.74,1043.27,190.44,BK0000078,G0019215,Norwegian,2023-05-14,3647.08,2026-04-05T21:18:59.350390
115.77,343.23,1321.82,530.4,846.89,42.3,BK0000079,G0004319,Norwegian,2022-10-24,3200.41,2026-04-05T21:18:59.350407
238.65,265.48,1192.42,51.36,53.49,341.51,BK0000080,G0003574,Norwegian,2024-05-12,2142.91,2026-04-05T21:18:59.350425
244.13,96.16,275.6,40.91,362.29,171.48,BK0000081,G0016066,Norwegian,2025-08-10,1190.57,2026-04-05T21:18:59.350443
541.45,431.26,1035.27,319.76,418.24,159.87,BK0000082,G0019576,Norwegian,2022-09-16,2905.85,2026-04-05T21:18:59.350462
10.94,327.65,47.74,229.16,867.12,22.67,BK0000083,G0010242,Norwegian,2024-07-13,1505.28,2026-04-05T21:18:59.350480
459.8,119.5,534.54,725.44,199.9,359.66,BK0000084,G0001966,Norwegian,2022-06-24,2398.84,2026-04-05T21:18:59.350498
47.85,622.41,588.44,354.98,25.2,502.66,BK0000085,G0015801,Oceania,2022-04-16,2141.54,2026-04-05T21:18:59.350517
577.05,70.4,618.15,713.86,893.78,63.02,BK0000086,G0018244,Norwegian,2023-04-09,2936.26,2026-04-05T21:18:59.350535
79.9,535.72,77.68,926.87,350.83,267.96,BK0000087,G0001005,Norwegian,2022-01-13,2238.96,2026-04-05T21:18:59.350554
765.36,620.24,739.27,987.81,1167.79,388.83,BK0000089,G0019436,Norwegian,2023-07-14,4669.3,2026-04-05T21:18:59.350573
608.98,75.49,668.71,1342.6,1111.36,511.27,BK0000090,G0003932,Norwegian,2023-02-23,4318.41,2026-04-05T21:18:59.350591
