price_log_id,brand,itinerary_name,region,cabin_category,sail_date,price_usd,recorded_at,_fivetran_synced
PL000000001,Norwegian,Caribbean Classic,Caribbean,Inside,2022-01-01,5110.54,2026-04-05T21:19:00.302732,2026-04-05T21:19:00.302735
PL000000002,Norwegian,Caribbean Classic,Caribbean,Oceanview,2022-01-01,5035.92,2026-04-05T21:19:00.302739,2026-04-05T21:19:00.302740
PL000000003,Norwegian,Caribbean Classic,Caribbean,Balcony,2022-01-01,4194.03,2026-04-05T21:19:00.302742,2026-04-05T21:19:00.302743
PL000000004,Norwegian,Caribbean Classic,Caribbean,Mini-Suite,2022-01-01,4572.97,2026-04-05T21:19:00.302744,2026-04-05T21:19:00.302745
PL000000005,Norwegian,Caribbean Classic,Caribbean,Haven Suite,2022-01-01,2779.46,2026-04-05T21:19:00.302746,2026-04-05T21:19:00.302747
PL000000006,Norwegian,Caribbean Classic,Caribbean,Inside,2022-01-08,5226.31,2026-04-05T21:19:00.302754,2026-04-05T21:19:00.302754
PL000000007,Norwegian,Caribbean Classic,Caribbean,Oceanview,2022-01-08,3098.82,2026-04-05T21:19:00.302756,2026-04-05T21:19:00.302757
PL000000008,Norwegian,Caribbean Classic,Caribbean,Balcony,2022-01-08,2934.85,2026-04-05T21:19:00.302759,2026-04-05T21:19:00.302759
PL000000009,Norwegian,Caribbean Classic,Caribbean,Mini-Suite,2022-01-08,3397.27,2026-04-05T21:19:00.302761,2026-04-05T21:19:00.302762
PL000000010,Norwegian,Caribbean Classic,Caribbean,Haven Suite,2022-01-08,5456.07,2026-04-05T21:19:00.302764,2026-04-05T21:19:00.302765
PL000000011,Norwegian,Caribbean Classic,Caribbean,Inside,2022-01-15,5618.21,2026-04-05T21:19:00.302768,2026-04-05T21:19:00.302768
PL000000012,Norwegian,Caribbean Classic,Caribbean,Oceanview,2022-01-15,1733.83,2026-04-05T21:19:00.302770,2026-04-05T21:19:00.302771
PL000000013,Norwegian,Caribbean Classic,Caribbean,Balcony,2022-01-15,3599.96,2026-04-05T21:19:00.302773,2026-04-05T21:19:00.302774
PL000000014,Norwegian,Caribbean Classic,Caribbean,Mini-Suite,2022-01-15,2545.09,2026-04-05T21:19:00.302775,2026-04-05T21:19:00.302776
PL000000015,Norwegian,Caribbean Classic,Caribbean,Haven Suite,2022-01-15,2378.3,2026-04-05T21:19:00.302778,2026-04-05T21:19:00.302779
PL000000016,Norwegian,Caribbean Classic,Caribbean,Inside,2022-01-22,5824.65,2026-04-05T21:19:00.302782,2026-04-05T21:19:00.302783
PL000000017,Norwegian,Caribbean Classic,Caribbean,Oceanview,2022-01-22,4317.69,2026-04-05T21:19:00.302784,2026-04-05T21:19:00.302785
PL000000018,Norwegian,Caribbean Classic,Caribbean,Balcony,2022-01-22,3559.15,2026-04-05T21:19:00.302787,2026-04-05T21:19:00.302788
PL000000019,Norwegian,Caribbean Classic,Caribbean,Mini-Suite,2022-01-22,2100.56,2026-04-05T21:19:00.302789,2026-04-05T21:19:00.302790
PL000000020,Norwegian,Caribbean Classic,Caribbean,Haven Suite,2022-01-22,6113.79,2026-04-05T21:19:00.302792,2026-04-05T21:19:00.302793
PL000000021,Norwegian,Caribbean Classic,Caribbean,Inside,2022-01-29,5244.71,2026-04-05T21:19:00.302795,2026-04-05T21:19:00.302796
PL000000022,Norwegian,Caribbean Classic,Caribbean,Oceanview,2022-01-29,4563.58,2026-04-05T21:19:00.302798,2026-04-05T21:19:00.302798
PL000000023,Norwegian,Caribbean Classic,Caribbean,Balcony,2022-01-29,3861.66,2026-04-05T21:19:00.302800,2026-04-05T21:19:00.302801
PL000000024,Norwegian,Caribbean Classic,Caribbean,Mini-Suite,2022-01-29,2993.15,2026-04-05T21:19:00.302802,2026-04-05T21:19:00.302803
PL000000025,Norwegian,Caribbean Classic,Caribbean,Haven Suite,2022-01-29,4379.61,2026-04-05T21:19:00.302804,2026-04-05T21:19:00.302805
PL000000026,Norwegian,Caribbean Classic,Caribbean,Inside,2022-02-05,1477.61,2026-04-05T21:19:00.302806,2026-04-05T21:19:00.302807
PL000000027,Norwegian,Caribbean Classic,Caribbean,Oceanview,2022-02-05,2384.97,2026-04-05T21:19:00.302808,2026-04-05T21:19:00.302809
PL000000028,Norwegian,Caribbean Classic,Caribbean,Balcony,2022-02-05,1931.63,2026-04-05T21:19:00.302810,2026-04-05T21:19:00.302811
PL000000029,Norwegian,Caribbean Classic,Caribbean,Mini-Suite,2022-02-05,5561.02,2026-04-05T21:19:00.302812,2026-04-05T21:19:00.302812
PL000000030,Norwegian,Caribbean Classic,Caribbean,Haven Suite,2022-02-05,4971.58,2026-04-05T21:19:00.302814,2026-04-05T21:19:00.302814
PL000000031,Norwegian,Caribbean Classic,Caribbean,Inside,2022-02-12,1651.64,2026-04-05T21:19:00.302816,2026-04-05T21:19:00.302817
